injected_el measured_el potential
1 1 1.30518
1 2 1.30518
1 3 1.30518
1 4 1.30518
1 5 1.30518
1 6 1.11848
1 7 1.09722
1 8 1.08237
1 9 1.0756
1 10 1.14695
1 11 1.14695
1 12 1.14695
1 13 1.14695
1 14 1.14695
1 15 1.10665
1 16 1.0917
1 17 1.07959
1 18 1.07383
1 19 1.11816
1 20 1.11816
1 21 1.11816
1 22 1.11816
1 23 1.11816
1 24 1.09528
1 25 1.08499
1 26 1.07593
1 27 1.07149
1 28 1.10058
1 29 1.10058
1 30 1.10058
1 31 1.10058
1 32 1.10058
1 33 1.08572
1 34 1.07854
1 35 1.07196
1 36 1.06867
1 37 1.14808
1 38 1.14808
1 39 1.14808
1 40 1.14808
1 41 1.14808
1 42 1.10773
1 43 1.09281
1 44 1.08077
1 45 1.07507
1 46 1.1294
1 47 1.1294
1 48 1.1294
1 49 1.1294
1 50 1.1294
1 51 1.10085
1 52 1.08874
1 53 1.07839
1 54 1.07337
1 55 1.1116
1 56 1.1116
1 57 1.1116
1 58 1.1116
1 59 1.1116
1 60 1.09225
1 61 1.08323
1 62 1.07515
1 63 1.07116
1 64 1.09753
1 65 1.09753
1 66 1.09753
1 67 1.09753
1 68 1.09753
1 69 1.0841
1 70 1.07755
1 71 1.0715
1 72 1.06848
1 73 1.11959
1 74 1.11959
1 75 1.11959
1 76 1.11959
1 77 1.11959
1 78 1.09664
1 79 1.08642
1 80 1.07744
1 81 1.0731
1 82 1.1119
1 83 1.1119
1 84 1.1119
1 85 1.1119
1 86 1.1119
1 87 1.09254
1 88 1.08354
1 89 1.0755
1 90 1.07153
1 91 1.10166
1 92 1.10166
1 93 1.10166
1 94 1.10166
1 95 1.10166
1 96 1.08667
1 97 1.07945
1 98 1.07283
1 99 1.06953
1 100 1.09165
1 101 1.09165
1 102 1.09165
1 103 1.09165
1 104 1.09165
1 105 1.08041
1 106 1.07485
1 107 1.06968
1 108 1.06708
1 109 1.10182
1 110 1.10182
1 111 1.10182
1 112 1.10182
1 113 1.10182
1 114 1.08692
1 115 1.0798
1 116 1.07329
1 117 1.07018
1 118 1.09765
1 119 1.09765
1 120 1.09765
1 121 1.09765
1 122 1.09765
1 123 1.08423
1 124 1.0777
1 125 1.07171
1 126 1.06874
1 127 1.09148
