injected_el measured_el potential
1 1 -47.5167
1 2 -47.5167
1 3 -47.5167
1 4 -47.5167
1 5 -47.5167
1 6 -55.765
1 7 -12.018
1 8 9.66177
1 9 1.31659
1 10 -19.1474
1 11 -19.1474
1 12 -19.1474
1 13 -19.1474
1 14 -19.1474
1 15 -104.913
1 16 -12.978
1 17 32.0418
1 18 3.39085
1 19 -11.2176
1 20 -11.2176
1 21 -11.2176
1 22 -11.2176
1 23 -11.2176
1 24 -35.2661
1 25 36.0903
1 26 49.387
1 27 4.34808
1 28 -5.34756
1 29 -5.34756
1 30 -5.34756
1 31 -5.34756
1 32 -5.34756
1 33 14.8198
1 34 37.5345
1 35 30.4671
1 36 2.89335
1 37 -14.4608
1 38 -14.4608
1 39 -14.4608
1 40 -14.4608
1 41 -14.4608
1 42 -26.8956
1 43 -3.56907
1 44 8.60296
1 45 1.06954
1 46 -13.1716
1 47 -13.1716
1 48 -13.1716
1 49 -13.1716
1 50 -13.1716
1 51 -37.9466
1 52 1.40608
1 53 19.4627
1 54 2.14537
1 55 -8.83596
1 56 -8.83596
1 57 -8.83596
1 58 -8.83596
1 59 -8.83596
1 60 -13.9994
1 61 16.5208
1 62 24.8283
1 63 2.51831
1 64 -4.74671
1 65 -4.74671
1 66 -4.74671
1 67 -4.74671
1 68 -4.74671
1 69 6.6632
1 70 21.3925
1 71 19.5352
1 72 1.96083
1 73 -7.96145
1 74 -7.96145
1 75 -7.96145
1 76 -7.96145
1 77 -7.96145
1 78 -9.42329
1 79 1.97118
1 80 6.80519
1 81 0.7847
1 82 -7.85832
1 83 -7.85832
1 84 -7.85832
1 85 -7.85832
1 86 -7.85832
1 87 -11.251
1 88 6.7857
1 89 12.6332
1 90 1.36249
1 91 -5.8107
1 92 -5.8107
1 93 -5.8107
1 94 -5.8107
1 95 -5.8107
1 96 -2.75644
1 97 12.5172
1 98 14.8771
1 99 1.53884
1 100 -3.42701
1 101 -3.42701
1 102 -3.42701
1 103 -3.42701
1 104 -3.42701
1 105 5.51912
1 106 14.4145
1 107 12.7128
1 108 1.28961
1 109 -4.40079
1 110 -4.40079
1 111 -4.40079
1 112 -4.40079
1 113 -4.40079
1 114 -2.06035
1 115 3.53817
1 116 4.8787
1 117 0.536208
1 118 -4.41151
1 119 -4.41151
1 120 -4.41151
1 121 -4.41151
1 122 -4.41151
1 123 -1.8455
1 124 6.57203
1 125 7.94332
1 126 0.844816
1 127 -3.45071
1 128 -3.45071
1 129 -3.45071
1 130 -3.45071
1 131 -3.45071
1 132 1.321
1 133 9.08645
1 134 9.12117
1 135 0.941838
1 136 -2.16277
1 137 -2.16277
1 138 -2.16277
1 139 -2.16277
1 140 -2.16277
1 141 4.80687
1 142 9.83833
1 143 8.14857
1 144 0.827247
2 1 -47.5167
2 2 -47.5167
2 3 -47.5167
2 4 -47.5167
2 5 -47.5167
2 6 -55.765
2 7 -12.018
2 8 9.66177
2 9 1.31659
2 10 -19.1474
2 11 -19.1474
2 12 -19.1474
2 13 -19.1474
2 14 -19.1474
2 15 -104.913
2 16 -12.978
2 17 32.0418
