injected_el measured_el potential
1 1 1.30526
1 2 1.30526
1 3 1.30526
1 4 1.30526
1 5 1.30526
1 6 1.11849
1 7 1.09727
1 8 1.08242
1 9 1.07563
1 10 1.14701
1 11 1.14701
1 12 1.14701
1 13 1.14701
1 14 1.14701
1 15 1.10619
1 16 1.09168
1 17 1.07974
1 18 1.07393
1 19 1.11821
1 20 1.11821
1 21 1.11821
1 22 1.11821
1 23 1.11821
1 24 1.09502
1 25 1.0854
1 26 1.07627
1 27 1.07163
1 28 1.10063
1 29 1.10063
1 30 1.10063
1 31 1.10063
1 32 1.10063
1 33 1.08579
1 34 1.07872
1 35 1.07211
1 36 1.06878
1 37 1.1482
1 38 1.1482
1 39 1.1482
1 40 1.1482
1 41 1.1482
1 42 1.10786
1 43 1.09292
1 44 1.0808
1 45 1.07503
1 46 1.1295
1 47 1.1295
1 48 1.1295
1 49 1.1295
1 50 1.1295
1 51 1.10088
1 52 1.08877
1 53 1.07842
1 54 1.07339
1 55 1.11169
1 56 1.11169
1 57 1.11169
1 58 1.11169
1 59 1.11169
1 60 1.09227
1 61 1.08328
1 62 1.0752
1 63 1.0712
1 64 1.09761
1 65 1.09761
1 66 1.09761
1 67 1.09761
1 68 1.09761
1 69 1.08415
1 70 1.07761
1 71 1.07155
1 72 1.06852
2 1 1.30526
2 2 1.30526
2 3 1.30526
2 4 1.30526
2 5 1.30526
2 6 1.11849
2 7 1.09727
2 8 1.08242
2 9 1.07563
2 10 1.14701
2 11 1.14701
2 12 1.14701
2 13 1.14701
2 14 1.14701
2 15 1.10619
2 16 1.09168
2 17 1.07974
2 18 1.07393
2 19 1.11821
2 20 1.11821
2 21 1.11821
2 22 1.11821
2 23 1.11821
2 24 1.09502
2 25 1.0854
2 26 1.07627
2 27 1.07163
2 28 1.10063
2 29 1.10063
2 30 1.10063
2 31 1.10063
2 32 1.10063
2 33 1.08579
2 34 1.07872
2 35 1.07211
2 36 1.06878
2 37 1.1482
2 38 1.1482
2 39 1.1482
2 40 1.1482
2 41 1.1482
2 42 1.10786
2 43 1.09292
2 44 1.0808
2 45 1.07503
2 46 1.1295
2 47 1.1295
2 48 1.1295
2 49 1.1295
2 50 1.1295
2 51 1.10088
2 52 1.08877
2 53 1.07842
2 54 1.07339
2 55 1.11169
2 56 1.11169
2 57 1.11169
2 58 1.11169
2 59 1.11169
2 60 1.09227
2 61 1.08328
2 62 1.0752
2 63 1.0712
2 64 1.09761
2 65 1.09761
2 66 1.09761
2 67 1.09761
2 68 1.09761
2 69 1.08415
2 70 1.07761
2 71 1.07155
2 72 1.06852
3 1 1.30526
3 2 1.30526
3 3 1.30526
3 4 1.30526
3 5 1.30526
3 6 1.11849
3 7 1.09727
3 8 1.08242
3 9 1.07563
3 10 1.14701
3 11 1.14701
3 12 1.14701
3 13 1.14701
3 14 1.14701
3 15 1.10619
3 16 1.09168
3 17 1.07974
3 18 1.07393
3 19 1.11821
3 20 1.11821
3 21 1.11821
3 22 1.11821
3 23 1.11821
3 24 1.09502
3 25 1.0854
3 26 1.07627
3 27 1.07163
3 28 1.10063
3 29 1.10063
3 30 1.10063
3 31 1.10063
3 32 1.10063
3 33 1.08579
3 34 1.07872
3 35 1.07211
3 36 1.06878
3 37 1.1482
3 38 1.1482
3 39 1.1482
3 40 1.1482
3 41 1.1482
3 42 1.10786
3 43 1.09292
3 44 1.0808
3 45 1.07503
3 46 1.1295
3 47 1.1295
3 48 1.1295
3 49 1.1295
3 50 1.1295
3 51 1.10088
3 52 1.08877
3 53 1.07842
3 54 1.07339
3 55 1.11169
3 56 1.11169
3 57 1.11169
3 58 1.11169
3 59 1.11169
3 60 1.09227
3 61 1.08328
3 62 1.0752
3 63 1.0712
3 64 1.09761
3 65 1.09761
3 66 1.09761
3 67 1.09761
3 68 1.09761
3 69 1.08415
3 70 1.07761
3 71 1.07155
3 72 1.06852
4 1 1.30526
4 2 1.30526
4 3 1.30526
4 4 1.30526
4 5 1.30526
4 6 1.11849
4 7 1.09727
4 8 1.08242
4 9 1.07563
4 10 1.14701
4 11 1.14701
4 12 1.14701
4 13 1.14701
4 14 1.14701
4 15 1.10619
4 16 1.09168
4 17 1.07974
4 18 1.07393
4 19 1.11821
4 20 1.11821
4 21 1.11821
4 22 1.11821
4 23 1.11821
4 24 1.09502
4 25 1.0854
4 26 1.07627
4 27 1.07163
4 28 1.10063
4 29 1.10063
4 30 1.10063
4 31 1.10063
4 32 1.10063
4 33 1.08579
4 34 1.07872
4 35 1.07211
4 36 1.06878
4 37 1.1482
4 38 1.1482
4 39 1.1482
4 40 1.1482
4 41 1.1482
4 42 1.10786
4 43 1.09292
4 44 1.0808
4 45 1.07503
