injected_el measured_el potential
1 1 1.30514
1 2 1.30514
1 3 1.30514
1 4 1.30514
1 5 1.30514
1 6 1.11844
1 7 1.09721
1 8 1.0824
1 9 1.07566
1 10 1.14691
1 11 1.14691
1 12 1.14691
1 13 1.14691
1 14 1.14691
1 15 1.10663
1 16 1.09171
1 17 1.07963
1 18 1.07388
1 19 1.11813
1 20 1.11813
1 21 1.11813
1 22 1.11813
1 23 1.11813
1 24 1.09528
1 25 1.08501
1 26 1.07597
1 27 1.07153
1 28 1.10055
1 29 1.10055
1 30 1.10055
1 31 1.10055
1 32 1.10055
1 33 1.08572
1 34 1.07856
1 35 1.07199
1 36 1.06871
1 37 1.14801
1 38 1.14801
1 39 1.14801
1 40 1.14801
1 41 1.14801
1 42 1.10763
1 43 1.09276
1 44 1.0808
1 45 1.07518
1 46 1.12935
1 47 1.12935
1 48 1.12935
1 49 1.12935
1 50 1.12935
1 51 1.10084
1 52 1.08874
1 53 1.07844
1 54 1.07346
1 55 1.11156
1 56 1.11156
1 57 1.11156
1 58 1.11156
1 59 1.11156
1 60 1.09224
1 61 1.08326
1 62 1.07521
1 63 1.07123
1 64 1.0975
1 65 1.0975
1 66 1.0975
1 67 1.0975
1 68 1.0975
1 69 1.08411
1 70 1.07758
1 71 1.07155
1 72 1.06853
1 73 1.1195
1 74 1.1195
1 75 1.1195
1 76 1.1195
1 77 1.1195
1 78 1.09657
1 79 1.08642
1 80 1.0775
1 81 1.07325
1 82 1.11184
1 83 1.11184
1 84 1.11184
1 85 1.11184
1 86 1.11184
1 87 1.09254
1 88 1.08356
1 89 1.07557
1 90 1.07164
1 91 1.10161
1 92 1.10161
1 93 1.10161
1 94 1.10161
1 95 1.10161
1 96 1.08668
1 97 1.07948
1 98 1.0729
1 99 1.06961
1 100 1.09162
1 101 1.09162
1 102 1.09162
1 103 1.09162
1 104 1.09162
1 105 1.08042
1 106 1.07489
1 107 1.06974
1 108 1.06716
1 109 1.10173
1 110 1.10173
1 111 1.10173
1 112 1.10173
1 113 1.10173
1 114 1.08697
1 115 1.07987
1 116 1.07336
1 117 1.07037
1 118 1.09758
1 119 1.09758
1 120 1.09758
1 121 1.09758
1 122 1.09758
1 123 1.08427
1 124 1.07774
1 125 1.07181
1 126 1.06889
1 127 1.09143
1 128 1.09143
1 129 1.09143
1 130 1.09143
1 131 1.09143
1 132 1.08026
1 133 1.07475
1 134 1.06965
1 135 1.06709
1 136 1.08455
1 137 1.08455
1 138 1.08455
1 139 1.08455
1 140 1.08455
1 141 1.07563
1 142 1.07118
1 143 1.06701
1 144 1.06491
2 1 1.30514
2 2 1.30514
2 3 1.30514
2 4 1.30514
2 5 1.30514
2 6 1.11844
2 7 1.09721
2 8 1.0824
2 9 1.07566
2 10 1.14691
2 11 1.14691
2 12 1.14691
2 13 1.14691
2 14 1.14691
2 15 1.10663
2 16 1.09171
2 17 1.07963
2 18 1.07388
2 19 1.11813
2 20 1.11813
2 21 1.11813
2 22 1.11813
2 23 1.11813
2 24 1.09528
2 25 1.08501
2 26 1.07597
2 27 1.07153
2 28 1.10055
2 29 1.10055
2 30 1.10055
2 31 1.10055
2 32 1.10055
2 33 1.08572
2 34 1.07856
2 35 1.07199
2 36 1.06871
2 37 1.14801
2 38 1.14801
2 39 1.14801
2 40 1.14801
2 41 1.14801
2 42 1.10763
2 43 1.09276
2 44 1.0808
2 45 1.07518
2 46 1.12935
2 47 1.12935
2 48 1.12935
2 49 1.12935
2 50 1.12935
2 51 1.10084
2 52 1.08874
2 53 1.07844
2 54 1.07346
2 55 1.11156
2 56 1.11156
2 57 1.11156
2 58 1.11156
2 59 1.11156
2 60 1.09224
2 61 1.08326
2 62 1.07521
2 63 1.07123
2 64 1.0975
2 65 1.0975
2 66 1.0975
2 67 1.0975
2 68 1.0975
2 69 1.08411
2 70 1.07758
2 71 1.07155
2 72 1.06853
2 73 1.1195
2 74 1.1195
2 75 1.1195
2 76 1.1195
2 77 1.1195
2 78 1.09657
2 79 1.08642
2 80 1.0775
2 81 1.07325
2 82 1.11184
2 83 1.11184
2 84 1.11184
2 85 1.11184
2 86 1.11184
2 87 1.09254
2 88 1.08356
2 89 1.07557
2 90 1.07164
2 91 1.10161
2 92 1.10161
2 93 1.10161
2 94 1.10161
2 95 1.10161
2 96 1.08668
2 97 1.07948
2 98 1.0729
2 99 1.06961
2 100 1.09162
2 101 1.09162
2 102 1.09162
2 103 1.09162
2 104 1.09162
2 105 1.08042
2 106 1.07489
2 107 1.06974
2 108 1.06716
2 109 1.10173
2 110 1.10173
2 111 1.10173
2 112 1.10173
2 113 1.10173
2 114 1.08697
2 115 1.07987
2 116 1.07336
2 117 1.07037
2 118 1.09758
2 119 1.09758
2 120 1.09758
2 121 1.09758
2 122 1.09758
2 123 1.08427
2 124 1.07774
2 125 1.07181
2 126 1.06889
2 127 1.09143
2 128 1.09143
2 129 1.09143
2 130 1.09143
2 131 1.09143
2 132 1.08026
2 133 1.07475
2 134 1.06965
2 135 1.06709
2 136 1.08455
2 137 1.08455
2 138 1.08455
2 139 1.08455
2 140 1.08455
2 141 1.07563
2 142 1.07118
2 143 1.06701
2 144 1.06491
3 1 1.30514
3 2 1.30514
3 3 1.30514
3 4 1.30514
3 5 1.30514
3 6 1.11844
3 7 1.09721
3 8 1.0824
3 9 1.07566
3 10 1.14691
3 11 1.14691
3 12 1.14691
3 13 1.14691
3 14 1.14691
3 15 1.10663
3 16 1.09171
3 17 1.07963
3 18 1.07388
3 19 1.11813
3 20 1.11813
3 21 1.11813
3 22 1.11813
3 23 1.11813
3 24 1.09528
3 25 1.08501
3 26 1.07597
3 27 1.07153
3 28 1.10055
3 29 1.10055
3 30 1.10055
3 31 1.10055
3 32 1.10055
3 33 1.08572
3 34 1.07856
3 35 1.07199
3 36 1.06871
3 37 1.14801
3 38 1.14801
3 39 1.14801
3 40 1.14801
3 41 1.14801
3 42 1.10763
3 43 1.09276
3 44 1.0808
3 45 1.07518
3 46 1.12935
3 47 1.12935
3 48 1.12935
3 49 1.12935
3 50 1.12935
3 51 1.10084
3 52 1.08874
3 53 1.07844
3 54 1.07346
3 55 1.11156
3 56 1.11156
3 57 1.11156
3 58 1.11156
3 59 1.11156
3 60 1.09224
3 61 1.08326
3 62 1.07521
3 63 1.07123
3 64 1.0975
3 65 1.0975
3 66 1.0975
3 67 1.0975
3 68 1.0975
3 69 1.08411
3 70 1.07758
3 71 1.07155
3 72 1.06853
3 73 1.1195
3 74 1.1195
3 75 1.1195
3 76 1.1195
3 77 1.1195
3 78 1.09657
3 79 1.08642
3 80 1.0775
3 81 1.07325
3 82 1.11184
3 83 1.11184
3 84 1.11184
3 85 1.11184
3 86 1.11184
3 87 1.09254
3 88 1.08356
3 89 1.07557
3 90 1.07164
3 91 1.10161
3 92 1.10161
3 93 1.10161
3 94 1.10161
3 95 1.10161
3 96 1.08668
3 97 1.07948
3 98 1.0729
3 99 1.06961
3 100 1.09162
3 101 1.09162
3 102 1.09162
3 103 1.09162
3 104 1.09162
3 105 1.08042
3 106 1.07489
3 107 1.06974
3 108 1.06716
3 109 1.10173
3 110 1.10173
3 111 1.10173
3 112 1.10173
3 113 1.10173
3 114 1.08697
3 115 1.07987
3 116 1.07336
3 117 1.07037
3 118 1.09758
3 119 1.09758
3 120 1.09758
3 121 1.09758
3 122 1.09758
3 123 1.08427
3 124 1.07774
3 125 1.07181
3 126 1.06889
3 127 1.09143
3 128 1.09143
3 129 1.09143
3 130 1.09143
3 131 1.09143
3 132 1.08026
3 133 1.07475
3 134 1.06965
3 135 1.06709
3 136 1.08455
3 137 1.08455
3 138 1.08455
3 139 1.08455
3 140 1.08455
3 141 1.07563
3 142 1.07118
3 143 1.06701
3 144 1.06491
4 1 1.30514
4 2 1.30514
4 3 1.30514
4 4 1.30514
4 5 1.30514
4 6 1.11844
4 7 1.09721
4 8 1.0824
4 9 1.07566
4 10 1.14691
4 11 1.14691
4 12 1.14691
4 13 1.14691
4 14 1.14691
4 15 1.10663
4 16 1.09171
4 17 1.07963
4 18 1.07388
4 19 1.11813
4 20 1.11813
4 21 1.11813
4 22 1.11813
4 23 1.11813
4 24 1.09528
4 25 1.08501
4 26 1.07597
4 27 1.07153
4 28 1.10055
4 29 1.10055
4 30 1.10055
4 31 1.10055
4 32 1.10055
4 33 1.08572
4 34 1.07856
