injected_el measured_el potential
1 1 1.30424
1 2 1.30424
1 3 1.30424
1 4 1.30424
1 5 1.30424
1 6 1.11792
1 7 1.09841
1 8 1.08438
1 9 1.07768
1 10 1.14614
1 11 1.14614
1 12 1.14614
1 13 1.14614
1 14 1.14614
1 15 1.10759
1 16 1.09235
1 17 1.08099
1 18 1.07609
1 19 1.11759
1 20 1.11759
1 21 1.11759
1 22 1.11759
1 23 1.11759
1 24 1.09587
1 25 1.086
1 26 1.07755
1 27 1.07336
1 28 1.10018
1 29 1.10018
1 30 1.10018
1 31 1.10018
1 32 1.10018
1 33 1.08642
1 34 1.0796
1 35 1.07329
1 36 1.07014
1 37 1.14709
1 38 1.14709
1 39 1.14709
1 40 1.14709
1 41 1.14709
1 42 1.10601
1 43 1.09387
1 44 1.0834
1 45 1.07797
1 46 1.1284
1 47 1.1284
1 48 1.1284
1 49 1.1284
1 50 1.1284
1 51 1.10199
1 52 1.09027
1 53 1.08048
1 54 1.07641
1 55 1.11094
1 56 1.11094
1 57 1.11094
1 58 1.11094
1 59 1.11094
1 60 1.09343
1 61 1.08524
1 62 1.07751
1 63 1.07359
1 64 1.09712
1 65 1.09712
1 66 1.09712
1 67 1.09712
1 68 1.09712
1 69 1.08536
1 70 1.07918
1 71 1.07328
1 72 1.0703
1 73 1.11881
1 74 1.11881
1 75 1.11881
1 76 1.11881
1 77 1.11881
1 78 1.09551
1 79 1.08757
1 80 1.0804
1 81 1.07617
1 82 1.11105
1 83 1.11105
1 84 1.11105
1 85 1.11105
1 86 1.11105
1 87 1.0937
1 88 1.08595
1 89 1.07827
1 90 1.07478
1 91 1.10107
1 92 1.10107
1 93 1.10107
1 94 1.10107
1 95 1.10107
1 96 1.08901
1 97 1.08231
1 98 1.07561
1 99 1.07216
1 100 1.09129
1 101 1.09129
1 102 1.09129
1 103 1.09129
1 104 1.09129
1 105 1.08193
1 106 1.07674
1 107 1.07165
1 108 1.06905
1 109 1.10132
1 110 1.10132
1 111 1.10132
1 112 1.10132
1 113 1.10132
1 114 1.08636
1 115 1.08125
1 116 1.07645
1 117 1.07299
1 118 1.09709
1 119 1.09709
1 120 1.09709
1 121 1.09709
1 122 1.09709
1 123 1.08539
1 124 1.08
1 125 1.07479
1 126 1.07186
1 127 1.09107
1 128 1.09107
1 129 1.09107
1 130 1.09107
1 131 1.09107
1 132 1.08241
1 133 1.07741
1 134 1.07242
1 135 1.06959
1 136 1.08432
1 137 1.08432
1 138 1.08432
1 139 1.08432
1 140 1.08432
1 141 1.07702
1 142 1.07299
1 143 1.06891
1 144 1.06679
2 1 1.30424
2 2 1.30424
2 3 1.30424
2 4 1.30424
2 5 1.30424
2 6 1.11792
2 7 1.09841
2 8 1.08438
2 9 1.07768
2 10 1.14614
2 11 1.14614
2 12 1.14614
2 13 1.14614
2 14 1.14614
2 15 1.10759
2 16 1.09235
2 17 1.08099
2 18 1.07609
2 19 1.11759
2 20 1.11759
2 21 1.11759
2 22 1.11759
2 23 1.11759
2 24 1.09587
2 25 1.086
2 26 1.07755
2 27 1.07336
2 28 1.10018
2 29 1.10018
2 30 1.10018
2 31 1.10018
2 32 1.10018
2 33 1.08642
2 34 1.0796
2 35 1.07329
2 36 1.07014
2 37 1.14709
2 38 1.14709
2 39 1.14709
2 40 1.14709
2 41 1.14709
2 42 1.10601
2 43 1.09387
2 44 1.0834
2 45 1.07797
2 46 1.1284
2 47 1.1284
2 48 1.1284
2 49 1.1284
2 50 1.1284
2 51 1.10199
2 52 1.09027
2 53 1.08048
2 54 1.07641
2 55 1.11094
2 56 1.11094
2 57 1.11094
2 58 1.11094
2 59 1.11094
2 60 1.09343
2 61 1.08524
2 62 1.07751
2 63 1.07359
2 64 1.09712
2 65 1.09712
2 66 1.09712
2 67 1.09712
2 68 1.09712
2 69 1.08536
2 70 1.07918
2 71 1.07328
2 72 1.0703
2 73 1.11881
2 74 1.11881
2 75 1.11881
2 76 1.11881
2 77 1.11881
2 78 1.09551
2 79 1.08757
2 80 1.0804
2 81 1.07617
2 82 1.11105
2 83 1.11105
2 84 1.11105
2 85 1.11105
2 86 1.11105
2 87 1.0937
2 88 1.08595
2 89 1.07827
2 90 1.07478
2 91 1.10107
2 92 1.10107
2 93 1.10107
2 94 1.10107
2 95 1.10107
2 96 1.08901
2 97 1.08231
2 98 1.07561
2 99 1.07216
2 100 1.09129
2 101 1.09129
2 102 1.09129
2 103 1.09129
2 104 1.09129
2 105 1.08193
2 106 1.07674
2 107 1.07165
2 108 1.06905
