injected_el measured_el potential
1 1 1.30447
1 2 1.30447
1 3 1.30447
1 4 1.30447
1 5 1.30447
1 6 1.11818
1 7 1.09781
1 8 1.08365
1 9 1.07715
1 10 1.14636
1 11 1.14636
1 12 1.14636
1 13 1.14636
1 14 1.14636
1 15 1.10703
1 16 1.09198
1 17 1.08053
1 18 1.0754
1 19 1.11773
1 20 1.11773
1 21 1.11773
1 22 1.11773
1 23 1.11773
1 24 1.09558
1 25 1.0856
1 26 1.07699
1 27 1.07277
1 28 1.10027
1 29 1.10027
1 30 1.10027
1 31 1.10027
1 32 1.10027
1 33 1.08608
1 34 1.07918
1 35 1.07285
1 36 1.06969
1 37 1.14722
1 38 1.14722
1 39 1.14722
1 40 1.14722
1 41 1.14722
1 42 1.10671
1 43 1.09373
1 44 1.08266
1 45 1.07737
1 46 1.12863
1 47 1.12863
1 48 1.12863
1 49 1.12863
1 50 1.12863
1 51 1.10176
1 52 1.08948
1 53 1.0797
1 54 1.07558
1 55 1.11109
1 56 1.11109
1 57 1.11109
1 58 1.11109
1 59 1.11109
1 60 1.09289
1 61 1.08441
1 62 1.0767
1 63 1.07289
1 64 1.09719
1 65 1.09719
1 66 1.09719
1 67 1.09719
1 68 1.09719
1 69 1.08482
1 70 1.07856
1 71 1.07271
1 72 1.06978
1 73 1.11886
1 74 1.11886
1 75 1.11886
1 76 1.11886
1 77 1.11886
1 78 1.09614
1 79 1.08764
1 80 1.07962
1 81 1.07567
1 82 1.11116
1 83 1.11116
1 84 1.11116
1 85 1.11116
1 86 1.11116
1 87 1.09375
1 88 1.08529
1 89 1.07734
1 90 1.074
1 91 1.10117
1 92 1.10117
1 93 1.10117
1 94 1.10117
1 95 1.10117
1 96 1.08824
1 97 1.08136
1 98 1.07474
1 99 1.07148
1 100 1.09134
1 101 1.09134
1 102 1.09134
1 103 1.09134
1 104 1.09134
1 105 1.08143
1 106 1.07614
1 107 1.0711
1 108 1.06855
1 109 1.10132
1 110 1.10132
1 111 1.10132
1 112 1.10132
1 113 1.10132
1 114 1.08687
1 115 1.0811
1 116 1.07578
1 117 1.07264
1 118 1.09712
1 119 1.09712
1 120 1.09712
1 121 1.09712
1 122 1.09712
1 123 1.08584
1 124 1.07962
1 125 1.07388
1 126 1.07125
1 127 1.0911
1 128 1.0911
1 129 1.0911
1 130 1.0911
1 131 1.0911
1 132 1.08203
1 133 1.07671
1 134 1.07164
1 135 1.06902
1 136 1.08434
1 137 1.08434
1 138 1.08434
1 139 1.08434
1 140 1.08434
1 141 1.07669
1 142 1.07252
1 143 1.06844
1 144 1.06635
2 1 1.30447
2 2 1.30447
2 3 1.30447
2 4 1.30447
2 5 1.30447
2 6 1.11818
2 7 1.09781
2 8 1.08365
2 9 1.07715
2 10 1.14636
2 11 1.14636
2 12 1.14636
2 13 1.14636
2 14 1.14636
2 15 1.10703
2 16 1.09198
2 17 1.08053
2 18 1.0754
2 19 1.11773
2 20 1.11773
2 21 1.11773
2 22 1.11773
2 23 1.11773
2 24 1.09558
2 25 1.0856
2 26 1.07699
2 27 1.07277
2 28 1.10027
2 29 1.10027
2 30 1.10027
