#	Y	X	Z
1	0	0	4
2	0	0	4.5
3	0	0	5
4	0	0	5.5
5	0	0	6
6	0	0	6.5
7	0	0	7
8	0	0	7.5
9	0	0	8
10	3.33	0	4
11	3.33	0	4.5
12	3.33	0	5
13	3.33	0	5.5
14	3.33	0	6
15	3.33	0	6.5
16	3.33	0	7
17	3.33	0	7.5
18	3.33	0	8
19	6.66	0	4
20	6.66	0	4.5
21	6.66	0	5
22	6.66	0	5.5
23	6.66	0	6
24	6.66	0	6.5
25	6.66	0	7
26	6.66	0	7.5
27	6.66	0	8
28	10	0	4
29	10	0	4.5
30	10	0	5
31	10	0	5.5
32	10	0	6
33	10	0	6.5
34	10	0	7
35	10	0	7.5
36	10	0	8
37	0	3.33	4
38	0	3.33	4.5
39	0	3.33	5
40	0	3.33	5.5
41	0	3.33	6
42	0	3.33	6.5
43	0	3.33	7
44	0	3.33	7.5
45	0	3.33	8
46	3.33	3.33	4
47	3.33	3.33	4.5
48	3.33	3.33	5
49	3.33	3.33	5.5
50	3.33	3.33	6
51	3.33	3.33	6.5
52	3.33	3.33	7
53	3.33	3.33	7.5
54	3.33	3.33	8
55	6.66	3.33	4
56	6.66	3.33	4.5
57	6.66	3.33	5
58	6.66	3.33	5.5
59	6.66	3.33	6
60	6.66	3.33	6.5
61	6.66	3.33	7
62	6.66	3.33	7.5
63	6.66	3.33	8
64	10	3.33	4
65	10	3.33	4.5
66	10	3.33	5
67	10	3.33	5.5
68	10	3.33	6
69	10	3.33	6.5
70	10	3.33	7
71	10	3.33	7.5
72	10	3.33	8
73	0	6.66	4
74	0	6.66	4.5
75	0	6.66	5
76	0	6.66	5.5
77	0	6.66	6
78	0	6.66	6.5
79	0	6.66	7
80	0	6.66	7.5
81	0	6.66	8
82	3.33	6.66	4
83	3.33	6.66	4.5
84	3.33	6.66	5
85	3.33	6.66	5.5
86	3.33	6.66	6
87	3.33	6.66	6.5
88	3.33	6.66	7
89	3.33	6.66	7.5
90	3.33	6.66	8
91	6.66	6.66	4
92	6.66	6.66	4.5
93	6.66	6.66	5
94	6.66	6.66	5.5
95	6.66	6.66	6
96	6.66	6.66	6.5
97	6.66	6.66	7
98	6.66	6.66	7.5
99	6.66	6.66	8
100	10	6.66	4
101	10	6.66	4.5
102	10	6.66	5
103	10	6.66	5.5
104	10	6.66	6
105	10	6.66	6.5
106	10	6.66	7
107	10	6.66	7.5
108	10	6.66	8
109	0	10	4
110	0	10	4.5
111	0	10	5
112	0	10	5.5
113	0	10	6
114	0	10	6.5
115	0	10	7
116	0	10	7.5
117	0	10	8
118	3.33	10	4
119	3.33	10	4.5
120	3.33	10	5
121	3.33	10	5.5
122	3.33	10	6
123	3.33	10	6.5
124	3.33	10	7
125	3.33	10	7.5
126	3.33	10	8
127	6.66	10	4
128	6.66	10	4.5
129	6.66	10	5
130	6.66	10	5.5
131	6.66	10	6
132	6.66	10	6.5
133	6.66	10	7
134	6.66	10	7.5
135	6.66	10	8
136	10	10	4
137	10	10	4.5
138	10	10	5
139	10	10	5.5
140	10	10	6
141	10	10	6.5
142	10	10	7
143	10	10	7.5
144	10	10	8
