#	A	B	M	N
1	1	10	2	11
2	1	10	11	3
3	1	10	3	12
4	1	10	12	4
5	1	10	4	13
6	1	10	13	5
7	1	10	5	14
8	1	10	14	6
9	1	10	6	15
10	1	10	15	7
11	1	11	2	12
12	1	11	12	3
13	1	11	3	13
14	1	11	13	4
15	1	11	4	14
16	1	11	14	5
17	1	11	5	15
18	1	11	15	6
19	1	11	6	16
20	1	11	16	7
21	2	10	11	3
22	2	10	3	12
23	2	10	12	4
24	2	10	4	13
25	2	10	13	5
26	2	10	5	14
27	2	10	14	6
28	2	10	6	15
29	2	10	15	7
30	2	10	7	16
31	2	11	3	12
32	2	11	12	4
33	2	11	4	13
34	2	11	13	5
35	2	11	5	14
36	2	11	14	6
37	2	11	6	15
38	2	11	15	7
39	2	11	7	16
40	2	11	16	8
41	2	12	3	13
42	2	12	13	4
43	2	12	4	14
44	2	12	14	5
45	2	12	5	15
46	2	12	15	6
47	2	12	6	16
48	2	12	16	7
49	2	12	7	17
50	2	12	17	8
51	3	11	12	4
52	3	11	4	13
53	3	11	13	5
54	3	11	5	14
55	3	11	14	6
56	3	11	6	15
57	3	11	15	7
58	3	11	7	16
59	3	11	16	8
60	3	11	8	17
61	3	12	4	13
62	3	12	13	5
63	3	12	5	14
64	3	12	14	6
65	3	12	6	15
66	3	12	15	7
67	3	12	7	16
68	3	12	16	8
69	3	12	8	17
70	3	12	17	9
71	3	13	4	14
72	3	13	14	5
73	3	13	5	15
74	3	13	15	6
75	3	13	6	16
76	3	13	16	7
77	3	13	7	17
78	3	13	17	8
79	3	13	8	18
80	3	13	18	9
81	4	12	13	5
82	4	12	5	14
83	4	12	14	6
84	4	12	6	15
85	4	12	15	7
86	4	12	7	16
87	4	12	16	8
88	4	12	8	17
89	4	12	17	9
90	4	12	9	18
91	4	13	5	14
92	4	13	14	6
93	4	13	6	15
94	4	13	15	7
95	4	13	7	16
96	4	13	16	8
97	4	13	8	17
98	4	13	17	9
99	4	13	9	18
100	4	14	5	15
101	4	14	15	6
102	4	14	6	16
103	4	14	16	7
104	4	14	7	17
105	4	14	17	8
106	4	14	8	18
107	4	14	18	9
108	5	13	14	6
109	5	13	6	15
110	5	13	15	7
111	5	13	7	16
112	5	13	16	8
113	5	13	8	17
114	5	13	17	9
115	5	13	9	18
116	5	14	6	15
117	5	14	15	7
118	5	14	7	16
119	5	14	16	8
120	5	14	8	17
121	5	14	17	9
122	5	14	9	18
123	5	15	6	16
124	5	15	16	7
125	5	15	7	17
126	5	15	17	8
127	5	15	8	18
128	5	15	18	9
129	6	14	15	7
130	6	14	7	16
131	6	14	16	8
132	6	14	8	17
133	6	14	17	9
134	6	14	9	18
135	6	15	7	16
136	6	15	16	8
137	6	15	8	17
138	6	15	17	9
139	6	15	9	18
140	6	16	7	17
141	6	16	17	8
142	6	16	8	18
143	6	16	18	9
144	7	15	16	8
145	7	15	8	17
146	7	15	17	9
147	7	15	9	18
148	7	16	8	17
149	7	16	17	9
150	7	16	9	18
151	7	17	8	18
152	7	17	18	9
153	8	16	17	9
154	8	16	9	18
155	8	17	9	18			
156	10	19	11	20
157	10	19	20	12
158	10	19	12	21
159	10	19	21	13
160	10	19	13	22
161	10	19	22	14
162	10	19	14	23
163	10	19	23	15
164	10	19	15	24
165	10	19	24	16
166	10	20	11	21
167	10	20	21	12
168	10	20	12	22
169	10	20	22	13
170	10	20	13	23
171	10	20	23	14
172	10	20	14	24
173	10	20	24	15
174	10	20	15	25
175	10	20	25	16
176	11	19	20	12
177	11	19	12	21
178	11	19	21	13
179	11	19	13	22
180	11	19	22	14
181	11	19	14	23
182	11	19	23	15
183	11	19	15	24
184	11	19	24	16
185	11	19	16	25
186	11	20	12	21
187	11	20	21	13
188	11	20	13	22
189	11	20	22	14
190	11	20	14	23
191	11	20	23	15
192	11	20	15	24
193	11	20	24	16
194	11	20	16	25
195	11	20	25	17
196	11	21	12	22
197	11	21	22	13
198	11	21	13	23
199	11	21	23	14
200	11	21	14	24
201	11	21	24	15
202	11	21	15	25
203	11	21	25	16
204	11	21	16	26
205	11	21	26	17
206	12	20	21	13
207	12	20	13	22
208	12	20	22	14
209	12	20	14	23
210	12	20	23	15
211	12	20	15	24
212	12	20	24	16
213	12	20	16	25
214	12	20	25	17
215	12	20	17	26
216	12	21	13	22
217	12	21	22	14
218	12	21	14	23
219	12	21	23	15
220	12	21	15	24
221	12	21	24	16
222	12	21	16	25
223	12	21	25	17
224	12	21	17	26
225	12	21	26	18
226	12	22	13	23
227	12	22	23	14
228	12	22	14	24
229	12	22	24	15
230	12	22	15	25
231	12	22	25	16
232	12	22	16	26
233	12	22	26	17
234	12	22	17	27
235	12	22	27	18
236	13	21	22	14
237	13	21	14	23
238	13	21	23	15
239	13	21	15	24
240	13	21	24	16
241	13	21	16	25
242	13	21	25	17
243	13	21	17	26
244	13	21	26	18
245	13	21	18	27
246	13	22	14	23
247	13	22	23	15
248	13	22	15	24
249	13	22	24	16
250	13	22	16	25
251	13	22	25	17
252	13	22	17	26
253	13	22	26	18
254	13	22	18	27
255	13	23	14	24
256	13	23	24	15
257	13	23	15	25
258	13	23	25	16
259	13	23	16	26
260	13	23	26	17
261	13	23	17	27
262	13	23	27	18
263	14	22	23	15
264	14	22	15	24
265	14	22	24	16
266	14	22	16	25
267	14	22	25	17
268	14	22	17	26
269	14	22	26	18
270	14	22	18	27
271	14	23	15	24
272	14	23	24	16
273	14	23	16	25
274	14	23	25	17
275	14	23	17	26
276	14	23	26	18
277	14	23	18	27
278	14	24	15	25
279	14	24	25	16
280	14	24	16	26
281	14	24	26	17
282	14	24	17	27
283	14	24	27	18
284	15	23	24	16
285	15	23	16	25
286	15	23	25	17
287	15	23	17	26
288	15	23	26	18
289	15	23	18	27
290	15	24	16	25
291	15	24	25	17
292	15	24	17	26
293	15	24	26	18
294	15	24	18	27
295	15	25	16	26
296	15	25	26	17
297	15	25	17	27
298	15	25	27	18
299	16	24	25	17
300	16	24	17	26
301	16	24	26	18
302	16	24	18	27
303	16	25	17	26
304	16	25	26	18
305	16	25	18	27
306	16	26	17	27
307	16	26	27	18
308	17	25	26	18
309	17	25	18	27
