injected_el measured_el potential
1 1 1.30515
1 2 1.30515
1 3 1.30515
1 4 1.30515
1 5 1.30515
1 6 1.11845
1 7 1.09721
1 8 1.08239
1 9 1.07564
1 10 1.14692
1 11 1.14692
1 12 1.14692
1 13 1.14692
1 14 1.14692
1 15 1.10664
1 16 1.09171
1 17 1.07962
1 18 1.07386
1 19 1.11814
1 20 1.11814
1 21 1.11814
1 22 1.11814
1 23 1.11814
1 24 1.09528
1 25 1.085
1 26 1.07596
1 27 1.07152
1 28 1.10056
1 29 1.10056
1 30 1.10056
1 31 1.10056
1 32 1.10056
1 33 1.08572
1 34 1.07855
1 35 1.07198
1 36 1.0687
1 37 1.14803
1 38 1.14803
1 39 1.14803
1 40 1.14803
1 41 1.14803
1 42 1.10766
1 43 1.09277
1 44 1.08079
1 45 1.07515
1 46 1.12936
1 47 1.12936
1 48 1.12936
1 49 1.12936
1 50 1.12936
1 51 1.10084
1 52 1.08874
1 53 1.07843
1 54 1.07343
1 55 1.11157
1 56 1.11157
1 57 1.11157
1 58 1.11157
1 59 1.11157
1 60 1.09224
1 61 1.08325
1 62 1.07519
1 63 1.0712
1 64 1.09751
1 65 1.09751
1 66 1.09751
1 67 1.09751
1 68 1.09751
1 69 1.08411
1 70 1.07757
1 71 1.07153
1 72 1.06852
1 73 1.11953
1 74 1.11953
1 75 1.11953
1 76 1.11953
1 77 1.11953
1 78 1.09658
1 79 1.08642
1 80 1.07748
1 81 1.0732
1 82 1.11185
1 83 1.11185
1 84 1.11185
1 85 1.11185
1 86 1.11185
1 87 1.09254
1 88 1.08356
1 89 1.07555
1 90 1.0716
1 91 1.10163
1 92 1.10163
1 93 1.10163
1 94 1.10163
1 95 1.10163
1 96 1.08668
1 97 1.07947
1 98 1.07287
1 99 1.06959
1 100 1.09163
1 101 1.09163
1 102 1.09163
1 103 1.09163
1 104 1.09163
1 105 1.08042
1 106 1.07488
1 107 1.06972
1 108 1.06713
1 109 1.10176
1 110 1.10176
1 111 1.10176
1 112 1.10176
1 113 1.10176
1 114 1.08695
1 115 1.07984
1 116 1.07333
1 117 1.07031
1 118 1.0976
1 119 1.0976
1 120 1.0976
1 121 1.0976
1 122 1.0976
1 123 1.08425
1 124 1.07773
1 125 1.07178
1 126 1.06884
1 127 1.09144
1 128 1.09144
1 129 1.09144
1 130 1.09144
1 131 1.09144
1 132 1.08025
1 133 1.07473
1 134 1.06962
1 135 1.06706
1 136 1.08456
1 137 1.08456
1 138 1.08456
1 139 1.08456
1 140 1.08456
1 141 1.07562
1 142 1.07116
1 143 1.06699
1 144 1.06489
2 1 1.30515
2 2 1.30515
2 3 1.30515
2 4 1.30515
2 5 1.30515
2 6 1.11845
2 7 1.09721
2 8 1.08239
2 9 1.07564
2 10 1.14692
2 11 1.14692
2 12 1.14692
2 13 1.14692
2 14 1.14692
2 15 1.10664
2 16 1.09171
2 17 1.07962
2 18 1.07386
2 19 1.11814
2 20 1.11814
2 21 1.11814
2 22 1.11814
2 23 1.11814
2 24 1.09528
2 25 1.085
2 26 1.07596
2 27 1.07152
2 28 1.10056
2 29 1.10056
2 30 1.10056
2 31 1.10056
2 32 1.10056
2 33 1.08572
2 34 1.07855
2 35 1.07198
2 36 1.0687
2 37 1.14803
2 38 1.14803
2 39 1.14803
2 40 1.14803
2 41 1.14803
2 42 1.10766
2 43 1.09277
2 44 1.08079
2 45 1.07515
2 46 1.12936
2 47 1.12936
2 48 1.12936
2 49 1.12936
2 50 1.12936
2 51 1.10084
2 52 1.08874
2 53 1.07843
2 54 1.07343
2 55 1.11157
2 56 1.11157
2 57 1.11157
2 58 1.11157
2 59 1.11157
2 60 1.09224
2 61 1.08325
2 62 1.07519
2 63 1.0712
2 64 1.09751
2 65 1.09751
2 66 1.09751
2 67 1.09751
2 68 1.09751
2 69 1.08411
2 70 1.07757
2 71 1.07153
2 72 1.06852
2 73 1.11953
2 74 1.11953
2 75 1.11953
2 76 1.11953
2 77 1.11953
2 78 1.09658
2 79 1.08642
2 80 1.07748
2 81 1.0732
2 82 1.11185
2 83 1.11185
2 84 1.11185
2 85 1.11185
2 86 1.11185
2 87 1.09254
2 88 1.08356
2 89 1.07555
2 90 1.0716
2 91 1.10163
2 92 1.10163
2 93 1.10163
2 94 1.10163
2 95 1.10163
2 96 1.08668
2 97 1.07947
2 98 1.07287
2 99 1.06959
2 100 1.09163
2 101 1.09163
2 102 1.09163
2 103 1.09163
2 104 1.09163
2 105 1.08042
2 106 1.07488
2 107 1.06972
2 108 1.06713
2 109 1.10176
2 110 1.10176
