x y z c
-48 -33 -19 -1.72209e-272
-44 -33 -19 -1.00667e-265
-40 -33 -19 -2.70146e-257
-36 -33 -19 -1.24787e-248
-33 -33 -19 5.36443e-240
-31 -33 -19 -6.5803e-232
-29.5 -33 -19 -3.81563e-224
-28.5 -33 -19 -2.52741e-219
-27.5 -33 -19 -1.81516e-213
-26.5 -33 -19 -3.20493e-210
-25.5 -33 -19 2.85373e-202
-24.5 -33 -19 6.25389e-195
-23.5 -33 -19 3.41352e-188
-22.5 -33 -19 -8.30052e-183
-21.5 -33 -19 -8.12153e-175
-20.5 -33 -19 -9.78384e-170
-19.5 -33 -19 -2.39124e-163
-18.5 -33 -19 9.92828e-157
-17.5 -33 -19 -3.9782e-155
-16.5 -33 -19 -1.77888e-149
-15.5 -33 -19 9.4615e-145
-14.5 -33 -19 -6.03719e-138
-13.5 -33 -19 6.9102e-131
-12.5 -33 -19 3.54866e-124
-11.75 -33 -19 -1.34185e-117
-11.25 -33 -19 9.56644e-112
-10.75 -33 -19 -3.34509e-107
-10.25 -33 -19 -1.16688e-101
-9.75 -33 -19 6.07435e-96
-9.25 -33 -19 1.29172e-93
-8.75 -33 -19 -9.26135e-89
-8.25 -33 -19 6.18586e-87
-7.75 -33 -19 -3.70061e-86
-7.25 -33 -19 -4.17561e-84
-6.75 -33 -19 1.96125e-82
-6.25 -33 -19 -8.13287e-82
-5.75 -33 -19 1.12516e-82
-5.25 -33 -19 -1.82524e-83
-4.75 -33 -19 -3.31454e-83
-4.25 -33 -19 3.1035e-86
-3.75 -33 -19 -4.65832e-91
-3.25 -33 -19 6.16772e-93
-2.75 -33 -19 -4.07762e-97
-2.25 -33 -19 2.85541e-101
-1.75 -33 -19 2.11092e-103
-1.25 -33 -19 -3.6197e-105
-0.75 -33 -19 -1.68145e-106
-0.25 -33 -19 -3.50748e-110
0.25 -33 -19 -4.31118e-113
0.75 -33 -19 1.28443e-115
1.25 -33 -19 -1.69524e-118
1.75 -33 -19 2.89342e-120
2.25 -33 -19 6.9235e-121
2.75 -33 -19 -8.23599e-123
3.25 -33 -19 6.57896e-126
3.75 -33 -19 -7.12761e-129
4.25 -33 -19 -4.52787e-133
4.75 -33 -19 5.36529e-137
5.25 -33 -19 -2.03593e-141
5.75 -33 -19 9.50927e-145
6.25 -33 -19 2.69073e-149
6.75 -33 -19 6.92489e-153
7.25 -33 -19 -9.09347e-156
7.75 -33 -19 1.57897e-160
8.25 -33 -19 -6.94031e-160
8.75 -33 -19 1.6173e-163
9.25 -33 -19 -8.27375e-167
9.75 -33 -19 -8.34853e-171
10.25 -33 -19 1.03821e-173
10.75 -33 -19 -4.54403e-177
11.25 -33 -19 6.69389e-180
11.75 -33 -19 -4.16046e-185
12.5 -33 -19 -8.27541e-188
13.5 -33 -19 1.23501e-191
14.5 -33 -19 -1.05437e-195
15.5 -33 -19 -4.06995e-201
16.5 -33 -19 3.7516e-206
17.5 -33 -19 2.93323e-209
18.5 -33 -19 -7.75721e-213
19.5 -33 -19 3.04768e-216
20.5 -33 -19 -1.0204e-219
21.5 -33 -19 -6.29114e-220
22.5 -33 -19 -2.19783e-225
23.5 -33 -19 -3.73029e-229
24.5 -33 -19 -1.39012e-233
25.5 -33 -19 -1.68945e-236
26.5 -33 -19 -2.72729e-239
27.5 -33 -19 1.50748e-241
28.5 -33 -19 2.71879e-246
29.5 -33 -19 5.62836e-250
31 -33 -19 6.70854e-255
33 -33 -19 -3.52493e-259
36 -33 -19 -1.94277e-264
40 -33 -19 -2.75296e-267
44 -33 -19 -3.41423e-272
48 -33 -19 -4.63861e-278
-48 -29 -19 8.44265e-273
-44 -29 -19 5.31542e-265
-40 -29 -19 3.91478e-257
-36 -29 -19 2.85394e-248
-33 -29 -19 5.80675e-240
-31 -29 -19 5.3598e-232
-29.5 -29 -19 3.84896e-224
-28.5 -29 -19 1.30811e-219
-27.5 -29 -19 4.44134e-213
-26.5 -29 -19 2.94278e-207
-25.5 -29 -19 -2.83178e-201
-24.5 -29 -19 -8.08646e-195
-23.5 -29 -19 -1.07247e-188
-22.5 -29 -19 -8.42961e-182
-21.5 -29 -19 3.49469e-175
-20.5 -29 -19 8.36277e-170
-19.5 -29 -19 -3.29637e-164
