x y z c
12.5 -16 -19 0
13.5 -16 -19 0
14.5 -16 -19 0
15.5 -16 -19 0
16.5 -16 -19 0
17.5 -16 -19 0
18.5 -16 -19 0
19.5 -16 -19 0
20.5 -16 -19 0
21.5 -16 -19 0
22.5 -16 -19 0
23.5 -16 -19 0
24.5 -16 -19 0
25.5 -16 -19 0
26.5 -16 -19 0
27.5 -16 -19 0
28.5 -16 -19 0
29.5 -16 -19 0
31 -16 -19 0
33 -16 -19 0
36 -16 -19 0
40 -16 -19 0
44 -16 -19 0
48 -16 -19 0
-0.25 -14.5 -19 0
0.25 -14.5 -19 0
0.75 -14.5 -19 0
1.25 -14.5 -19 0
1.75 -14.5 -19 0
2.25 -14.5 -19 0
2.75 -14.5 -19 0
3.25 -14.5 -19 0
3.75 -14.5 -19 0
4.25 -14.5 -19 0
4.75 -14.5 -19 0
5.25 -14.5 -19 0
5.75 -14.5 -19 0
6.25 -14.5 -19 0
6.75 -14.5 -19 0
7.25 -14.5 -19 0
7.75 -14.5 -19 0
8.25 -14.5 -19 0
8.75 -14.5 -19 0
9.25 -14.5 -19 0
9.75 -14.5 -19 0
10.25 -14.5 -19 0
10.75 -14.5 -19 0
11.25 -14.5 -19 0
11.75 -14.5 -19 0
12.5 -14.5 -19 0
13.5 -14.5 -19 0
14.5 -14.5 -19 0
15.5 -14.5 -19 0
16.5 -14.5 -19 0
17.5 -14.5 -19 0
18.5 -14.5 -19 0
19.5 -14.5 -19 0
20.5 -14.5 -19 0
21.5 -14.5 -19 0
22.5 -14.5 -19 0
23.5 -14.5 -19 0
24.5 -14.5 -19 0
25.5 -14.5 -19 0
26.5 -14.5 -19 0
27.5 -14.5 -19 0
28.5 -14.5 -19 0
29.5 -14.5 -19 0
31 -14.5 -19 0
33 -14.5 -19 0
36 -14.5 -19 0
40 -14.5 -19 0
44 -14.5 -19 0
48 -14.5 -19 0
-0.25 -13.5 -19 0
0.25 -13.5 -19 0
0.75 -13.5 -19 0
1.25 -13.5 -19 0
1.75 -13.5 -19 0
2.25 -13.5 -19 0
2.75 -13.5 -19 0
3.25 -13.5 -19 0
3.75 -13.5 -19 0
4.25 -13.5 -19 0
4.75 -13.5 -19 0
5.25 -13.5 -19 0
5.75 -13.5 -19 0
6.25 -13.5 -19 0
6.75 -13.5 -19 0
7.25 -13.5 -19 0
7.75 -13.5 -19 0
8.25 -13.5 -19 0
8.75 -13.5 -19 0
9.25 -13.5 -19 0
9.75 -13.5 -19 0
10.25 -13.5 -19 0
10.75 -13.5 -19 0
11.25 -13.5 -19 0
11.75 -13.5 -19 0
12.5 -13.5 -19 0
13.5 -13.5 -19 0
14.5 -13.5 -19 0
15.5 -13.5 -19 0
16.5 -13.5 -19 0
17.5 -13.5 -19 0
18.5 -13.5 -19 0
19.5 -13.5 -19 0
20.5 -13.5 -19 0
21.5 -13.5 -19 0
22.5 -13.5 -19 0
23.5 -13.5 -19 0
24.5 -13.5 -19 0
25.5 -13.5 -19 0
26.5 -13.5 -19 0
27.5 -13.5 -19 0
28.5 -13.5 -19 0
29.5 -13.5 -19 0
31 -13.5 -19 0
33 -13.5 -19 0
36 -13.5 -19 0
40 -13.5 -19 0
44 -13.5 -19 0
48 -13.5 -19 0
-0.25 -12.5 -19 0
0.25 -12.5 -19 0
0.75 -12.5 -19 0
1.25 -12.5 -19 0
1.75 -12.5 -19 0
2.25 -12.5 -19 0
2.75 -12.5 -19 0
3.25 -12.5 -19 0
3.75 -12.5 -19 0
4.25 -12.5 -19 0
4.75 -12.5 -19 0
5.25 -12.5 -19 0
5.75 -12.5 -19 0
6.25 -12.5 -19 0
6.75 -12.5 -19 0
7.25 -12.5 -19 0
7.75 -12.5 -19 0
8.25 -12.5 -19 0
8.75 -12.5 -19 0
9.25 -12.5 -19 0
9.75 -12.5 -19 0
10.25 -12.5 -19 0
10.75 -12.5 -19 0
11.25 -12.5 -19 0
11.75 -12.5 -19 0
12.5 -12.5 -19 0
13.5 -12.5 -19 0
14.5 -12.5 -19 0
15.5 -12.5 -19 0
16.5 -12.5 -19 0
17.5 -12.5 -19 0
18.5 -12.5 -19 0
19.5 -12.5 -19 0
20.5 -12.5 -19 0
21.5 -12.5 -19 0
22.5 -12.5 -19 0
23.5 -12.5 -19 0
24.5 -12.5 -19 0
25.5 -12.5 -19 0
26.5 -12.5 -19 0
27.5 -12.5 -19 0
28.5 -12.5 -19 0
29.5 -12.5 -19 0
31 -12.5 -19 0
33 -12.5 -19 0
36 -12.5 -19 0
40 -12.5 -19 0
44 -12.5 -19 0
48 -12.5 -19 0
-0.25 -11.5 -19 0
0.25 -11.5 -19 0
0.75 -11.5 -19 0
1.25 -11.5 -19 0
1.75 -11.5 -19 0
2.25 -11.5 -19 0
2.75 -11.5 -19 0
3.25 -11.5 -19 0
3.75 -11.5 -19 0
4.25 -11.5 -19 0
4.75 -11.5 -19 0
5.25 -11.5 -19 0
5.75 -11.5 -19 0
6.25 -11.5 -19 0
6.75 -11.5 -19 0
7.25 -11.5 -19 0
7.75 -11.5 -19 0
8.25 -11.5 -19 0
8.75 -11.5 -19 0
9.25 -11.5 -19 0
9.75 -11.5 -19 0
10.25 -11.5 -19 0
10.75 -11.5 -19 0
11.25 -11.5 -19 0
11.75 -11.5 -19 0
12.5 -11.5 -19 0
13.5 -11.5 -19 0
14.5 -11.5 -19 0
15.5 -11.5 -19 0
16.5 -11.5 -19 0
